imo,dwt
9276729,91439
9277204,50246
9277254,56020
9277539,88111
9277553,88200
9277565,88279
9277577,88172
9277632,52818
9277644,52810
9277656,52808
9277668,52808
9277711,171516
9278428,76267
9278430,76343
9278521,171009
9278533,171009
9278545,171009
9278557,171009
9278569,171015
9278571,171015
9278636,203195
9278753,51812
9278765,52898
9278777,52988
9278789,52951
9278806,52686
9278818,55557
9278820,55557
9278868,52532
9278870,52438
9278882,52544
9279367,50326
9279379,50316
9279381,73902
9279393,229186
9279484,75845
9279513,75583
9279525,75729
9279537,75499
9279549,75767
9279599,53553
9279745,52370
9279769,52388
9279771,76423
9279783,76015
9279795,76015
9279800,82214
9279836,48821
9279874,177216
9280770,74823
9281437,73880
9281449,73640
9281700,170108
9281712,170108
9281724,52292
9281827,77834
9281906,206237
9281918,206204
9281956,49326
9281968,49416
9282388,55580
9282390,55500
9282431,170012
9282730,50527
9282742,52441
9282869,53688
9282871,53648
9283631,74444
9283643,74403
9283655,74759
9283681,170649
9283980,73624
9283992,73583
9284245,56056
9284257,56029
9284269,56094
9284271,177640
9284283,50248
9284295,177662
9284300,56042
9284348,49406
9284477,52994
9284489,55628
9284491,55745
9284506,55715
9284518,52980
9284520,52980
9284544,52949
9284556,52686
9284570,170012
9284659,175085
9284843,52483
9284855,76466
9284867,76429
9284879,76466
9284881,76423
9284893,76466
9284908,76417
9284910,76466
9285017,55541
9285043,82769
9285079,55566
9285108,55676
9285110,55604
9285158,87052
9285160,87052
9285550,77598
9285562,77598
9286566,82849
9286578,82849
9286580,82849
9286592,82977
9286607,82926
9286619,76255
9286621,76294
9286633,73630
9286645,73699
9286798,171681
9286803,171681
9286853,76302
9286865,76602
9286877,62716
9286889,76633
9286906,75798
9286918,75767
9286920,75776
9286932,75777
9286956,76286
9286968,76225
9286970,76150
9287132,75912
9287144,52471
9287156,52440
9287168,76469
9287170,76290
9287182,77171
9287194,77171
9287209,52677
9287211,54334
9287273,203266
9287455,74823
9287778,77684
9287780,77684
9287962,53299
9287974,53299
9287986,53688
9287998,53688
9288332,55426
9288344,55452
9288411,76520
9288423,76447
9288435,76492
9288447,76453
9288459,76454
9288461,76498
9288473,76508
9288485,52409
9288497,52392
9288502,52358
9288514,76801
9288526,76801
9288538,76801
9289013,53565
9289025,53565
9289312,75399
9290141,75349
9290153,75410
9290232,52384
9290244,52504
9290268,175569
9290593,175971
9290696,77834
9290701,77834
9290713,77834
9290842,87052
9290854,56034
9290866,55718
